TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2168,taskhostex.exe,0x9e390480,0x118,Key,0x20019,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWSRUNTIME\\CLSID
0,2168,taskhostex.exe,0x9e399ea8,0x11c,Key,0x20019,MACHINE\\SOFTWARE\\CLASSES\\ACTIVATABLECLASSES\\CLSID
0,2168,taskhostex.exe,0x98257940,0x120,Section,0x4,__ComCatalogCache__
0,2168,taskhostex.exe,0x8684e6d0,0x124,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x8687b640,0x128,Thread,0x1fffff,Tid 2268 Pid 2168
0,2168,taskhostex.exe,0x8687d0a0,0x12c,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x8687bc78,0x130,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x8684e508,0x134,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x8684da70,0x138,File,0x3,\\Device\\Beep
0,2168,taskhostex.exe,0x8684d4a0,0x13c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684d600,0x140,Thread,0x1fffff,Tid 2196 Pid 2168
0,2168,taskhostex.exe,0x8684e740,0x144,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684cef0,0x148,ALPC Port,0x1f0001,PlaySoundKRpc1
0,2168,taskhostex.exe,0x86499298,0x14c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684ce98,0x150,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684ce30,0x154,WaitCompletionPacket,0x1,-
0,2168,taskhostex.exe,0x8684cd70,0x158,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684cc10,0x15c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684cab0,0x160,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684c950,0x164,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684c7f0,0x168,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684c690,0x16c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8684c530,0x170,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8687cb80,0x174,Thread,0x1fffff,Tid 2260 Pid 2168
0,2168,taskhostex.exe,0x86848030,0x178,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86847e90,0x17c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86847a68,0x180,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x868474c0,0x184,Mutant,0x1f0001,AccessibilitySoundAgentRunning
0,2168,taskhostex.exe,0x8687bb28,0x188,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x8687c830,0x18c,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878680,0x190,Thread,0x1fffff,Tid 2284 Pid 2168
0,2168,taskhostex.exe,0x8687a988,0x194,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86879ef0,0x198,ALPC Port,0x1f0001,webcache_{031b98cf-4a69-4c31-ab42-fd9b3c199407}_S-1-5-21-2150415697-633925282-3831303979-1001
0,2168,taskhostex.exe,0x86879640,0x19c,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878af8,0x1a0,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868490b8,0x1a4,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8663d208,0x1a8,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x8692bbc0,0x1ac,Thread,0x840,Tid 3460 Pid 2168
0,2168,taskhostex.exe,0x868795e0,0x1b0,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86879580,0x1b4,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86879520,0x1b8,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868794c0,0x1bc,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86845e40,0x1c0,Semaphore,0x100003,-
0,2168,taskhostex.exe,0x86878cb8,0x1c4,Semaphore,0x100003,-
0,2168,taskhostex.exe,0x86878c60,0x1c8,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878c00,0x1cc,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878ba0,0x1d0,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878620,0x1d4,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868785c0,0x1d8,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878560,0x1dc,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878500,0x1e0,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868784a0,0x1e4,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86878398,0x1e8,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0xa666b500,0x1ec,Section,0x6,windows_shell_global_counters
0,2168,taskhostex.exe,0xa761df70,0x1f0,Key,0x20019,USER
0,2168,taskhostex.exe,0xa6669318,0x1f4,Key,0x1,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\WINDOWS\\CURRENTVERSION\\EXPLORER
0,2168,taskhostex.exe,0xa7602818,0x1f8,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NLS\\SORTING\\IDS
